Units,Dollars,Comic-book Title,Issue,Price,Publisher,Est. units
708,627,Daredevil,5,$3.99,Marvel,"37,095"
711,633,Legendary Star Lord,5,$3.99,Marvel,"36,996"
712,429,New Avengers Annual,1,$4.99,Marvel,"36,990"
713,632,Thor God of Thunder,22,$3.99,Marvel,"36,961"
716,628,Deadpools Art of War,2,$3.99,Marvel,"36,832"
718,636,X-Men,17,$3.99,Marvel,"36,807"
719,635,Hulk,4,$3.99,Marvel,"36,802"
720,639,Silver Surfer,3,$3.99,Marvel,"36,756"
721,643,Amazing X-Men,10,$3.99,Marvel,"36,720"
724,637,Death of Wolverine Logan Legacy,6,$3.99,Marvel,"36,647"
725,641,Thor God of Thunder,23,$3.99,Marvel,"36,636"
726,644,100th Anniversary Special: Avengers,1,$3.99,Marvel,"36,605"
728,647,Amazing X-Men,13,$3.99,Marvel,"36,577"
730,977,Ms Marvel,5,$2.99,Marvel,"36,482"
731,648,Scarlet Spiders,1,$3.99,Marvel,"36,415"
732,987,Hawkeye,17,$2.99,Marvel,"36,360"
736,650,Wolverine and X-Men,3,$3.99,Marvel,"36,322"
739,649,Hawkeye Vs. Deadpool,3,$3.99,Marvel,"36,162"
741,656,Wolverine,7,$3.99,Marvel,"36,084"
743,1006,Hawkeye,18,$2.99,Marvel,"35,975"
744,663,Thanos A God Up There Listening,1,$3.99,Marvel,"35,947"
746,447,Amazing X-Men Annual,1,$4.99,Marvel,"35,910"
748,670,Hawkeye,19,$3.99,Marvel,"35,896"
750,664,Wolverine,6,$3.99,Marvel,"35,862"
754,667,Wolverine and X-Men,41,$3.99,Marvel,"35,825"
755,672,Moon Knight,7,$3.99,Marvel,"35,800"
757,455,Wolverine and X-Men,42,$4.99,Marvel,"35,759"
758,668,Nightcrawler,2,$3.99,Marvel,"35,757"
759,665,Deadpool Vs. X-Force,4,$3.99,Marvel,"35,731"
760,671,X-Men,18,$3.99,Marvel,"35,720"
763,673,Punisher,2,$3.99,Marvel,"35,635"
768,676,Hulk,5,$3.99,Marvel,"35,445"
769,677,Black Widow,2,$3.99,Marvel,"35,413"
